number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.hidden_dropout_rate	params_model.num_filters	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
10		2020-05-26 21:13:23.868690	2020-05-26 21:14:08.459302	256	0.12699747782166868	250	13	0.007972681652419138	1024														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									10	Setting status of trial#10 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
11		2020-05-26 21:14:08.470311	2020-05-26 21:15:00.702586	256	0.10765862205640137	50	39	0.029197099829166063	4096														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									11	Setting status of trial#11 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
12		2020-05-26 21:15:00.723706	2020-05-26 21:16:07.582154	128	0.4691128820425857	450	12	0.05236749982179663	8192														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									12	Setting status of trial#12 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
13		2020-05-26 21:16:07.601158	2020-05-26 21:16:56.669332	128	0.39115358793804733	200	12	0.027665950805697073	4096														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									13	Setting status of trial#13 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
14		2020-05-26 21:16:56.682685	2020-05-26 21:17:57.716094	64	0.30870320504132853	200	42	0.015352937770001488	8192														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									14	Setting status of trial#14 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
15		2020-05-26 21:17:57.726671	2020-05-26 21:20:15.800999	256	0.29018746964389164	200	50	0.004662767916680009	8192														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									15	Setting status of trial#15 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
16		2020-05-26 21:20:15.813139	2020-05-26 21:21:15.317576	64	0.42239331545547376	400	18	0.0016295150942314388	8192														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									16	Setting status of trial#16 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
17		2020-05-26 21:21:15.332081	2020-05-26 21:22:15.295503	256	0.44996019695092704	50	47	0.011504181348717295	4096														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									17	Setting status of trial#17 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
18		2020-05-26 21:22:15.305913	2020-05-26 21:23:19.295046	128	0.3752643551780759	400	23	0.025262449243699137	4096														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									18	Setting status of trial#18 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
19		2020-05-26 21:23:19.311462	2020-05-26 21:24:17.877771	256	0.4422965603447552	500	24	0.04647763789018766	1024														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									19	Setting status of trial#19 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
20		2020-05-26 21:24:17.895270	2020-05-26 21:25:19.111690	128	0.49928795114061764	500	27	0.018296213033907396	2048														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									20	Setting status of trial#20 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
21		2020-05-26 21:25:19.122266	2020-05-26 21:25:56.347358	128	0.19059914218433602	200	2	0.006122486900465374	1024														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									21	Setting status of trial#21 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
22		2020-05-26 21:25:56.358777	2020-05-26 21:27:13.745433	256	0.3762573024469845	150	46	0.0689938229335265	8192														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									22	Setting status of trial#22 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
23		2020-05-26 21:27:13.756098	2020-05-26 21:27:59.675646	64	0.43807927148499604	500	10	0.004557524328227321	8192														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									23	Setting status of trial#23 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
24		2020-05-26 21:27:59.686961	2020-05-26 21:31:36.243917	256	0.3027897705136172	500	42	0.001437610003977139	8192														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									24	Setting status of trial#24 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
25		2020-05-26 21:31:36.255292	2020-05-26 21:32:31.111438	128	0.4913270122138981	150	36	0.001796459436276782	8192														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									25	Setting status of trial#25 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
26	0.43099638408999597	2020-05-26 21:32:31.122560	2020-05-27 12:00:23.224171	64	0.13016720697006715	100	3	0.05253593830637327	8192	0.05715293498911821	0.11420249096022499	0.43099638408999597	0.2721976697468863	0.3400964242667738	3190.133437123343	0.22149193363985709	0.11440337484933709	0.431096826034552	0.2723985536359984	0.3402973081558859	3190.131880273202	0.22166232622691928		2587548915.0	270.0	0.11420249096022499	0.43079550020088386	0.2721976697468863	0.3400964242667738	3190.1349939734832	0.221474875564808	26		COMPLETE
