number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
10	0.03304539975893933	2020-05-26 16:45:54.711176	2020-05-26 17:05:24.799146	0.3896784782590449	13.638330166045325	64	13	0.0010573812106858345	1024														CUDA out of memory. Tried to allocate 1.12 GiB (GPU 0; 11.91 GiB total capacity; 2.66 GiB already allocated; 757.56 MiB free; 5.09 GiB reserved in total by PyTorch)									10	Setting status of trial#10 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
11		2020-05-26 17:05:24.811276	2020-05-26 17:05:47.284411	0.6340927965738155	2.741232575811966	128	1	0.0029106191560172175	1024														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									11	Setting status of trial#11 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
12		2020-05-26 17:05:47.297430	2020-05-26 17:06:13.204276	0.711612877236851	27.306583159673753	256	27	0.004693132106858303	8192														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									12	Setting status of trial#12 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
13		2020-05-26 17:06:13.215929	2020-05-26 17:06:35.556491	0.9674478970479745	8.202920934871983	128	12	0.0017239493000298187	4096														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									13	Setting status of trial#13 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
14	0.02209722780233025	2020-05-26 17:06:35.569027	2020-05-26 18:05:37.328838	0.5111061905198406	1.9319648116710755	64	43	0.0438788406945843	1024	0.1889123556913311	0.0001004419445560466	0.02209722780233025	0.01627159501807955	0.018481317798312576	11457.427380474086	0.011286754627667296	0.9935717155484131	0.9939734833266372	0.9938730413820811	0.9939734833266372	344.0603656086782	0.9937477212406214		1423277045.0	140.0	0.0001004419445560466	0.018782643631980716	0.013760546404178385	0.01627159501807955	22570.794395339493	0.007876849849955708	14		COMPLETE
15		2020-05-26 18:05:37.396965	2020-05-26 18:06:05.219216	0.4833360688532288	24.084636994148887	256	16	0.0748898694452157	2048														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									15	Setting status of trial#15 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
16	0.4075934110084371	2020-05-26 18:06:05.230606	2020-05-26 21:18:06.041351	0.9666579773940103	17.271497633118173	64	20	0.0026797216910523615	2048	0.05341374194949127	0.10907995178786661	0.4075934110084371	0.24005624748895138	0.30805544395339496	2921.1577942948975	0.207044810576224	0.10907995178786661	0.4075934110084371	0.24005624748895138	0.30805544395339496	2921.156588991563	0.2070448106640119		668667887.0	730.0	0.10907995178786661	0.4075934110084371	0.24005624748895138	0.30805544395339496	2921.158999598232	0.20704481048852744	16		COMPLETE
17		2020-05-26 21:18:06.103499	2020-05-26 21:18:32.196403	0.3409126270212377	2.5885754007929735	256	35	0.031231106320915292	8192														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									17	Setting status of trial#17 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
18		2020-05-26 21:18:32.207956	2020-05-26 21:18:58.359252	0.8428436758567895	5.624311435202397	256	27	0.04910139016547322	1024														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									18	Setting status of trial#18 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
19	0.48563680192848535	2020-05-26 21:18:58.368907	2020-05-27 00:34:33.705898	0.49494095289602136	10.957847810176368	128	19	0.011796072038476275	4096	0.03481467004849622	0.16753716351948575	0.48563680192848535	0.3177983125753315	0.39413419043792686	1997.044646444355	0.27190877466330243	0.16753716351948575	0.48563680192848535	0.3177983125753315	0.39413419043792686	1997.04409401366	0.2719087748066882		1901939948.0	320.0	0.16753716351948575	0.48563680192848535	0.3177983125753315	0.39413419043792686	1997.0451988750501	0.27190877452007295	19		COMPLETE
