number	value	datetime_start	datetime_complete	params_loss.margin	params_model.embedding_dim	params_model.hidden_dropout_rate	params_model.num_filters	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
10		2020-05-27 05:41:18.798869	2020-05-27 05:41:44.089763	3.049651935287237	128	0.48392453310955486	250	25	0.001164942472654004	2048														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									10	Setting status of trial#10 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
11		2020-05-27 05:41:44.099257	2020-05-27 05:42:13.826540	2.8352273878262917	128	0.421862830664016	200	44	0.009353613750355365	4096														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									11	Setting status of trial#11 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
12		2020-05-27 05:42:13.836981	2020-05-27 05:42:36.516371	6.276371372740568	256	0.2825479518586802	50	24	0.0012379548216144552	1024														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									12	Setting status of trial#12 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
13		2020-05-27 05:42:36.527348	2020-05-27 05:43:04.738920	5.716745981706081	256	0.153848728625793	250	35	0.012647685131365653	1024														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									13	Setting status of trial#13 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
14		2020-05-27 05:43:04.749556	2020-05-27 05:43:30.322934	0.515311089677811	256	0.3156379842608357	50	9	0.0029659956572789686	8192														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									14	Setting status of trial#14 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
15		2020-05-27 05:43:30.336784	2020-05-27 05:43:52.668720	8.806162616919718	64	0.19148190325000636	200	25	0.029839977187466175	2048														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									15	Setting status of trial#15 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
16		2020-05-27 05:43:52.679832	2020-05-27 05:44:17.317979	8.562664387076808	128	0.21943907626371925	300	39	0.04855865350112364	1024														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									16	Setting status of trial#16 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
17		2020-05-27 05:44:17.327909	2020-05-27 05:44:45.887427	4.8848699129891555	256	0.1220145490565948	400	30	0.006974058894031022	1024														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									17	Setting status of trial#17 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
18		2020-05-27 05:44:45.899541	2020-05-27 05:45:09.397128	4.114832068075487	128	0.4637152931149937	150	29	0.036118176348532725	2048														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									18	Setting status of trial#18 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
19		2020-05-27 05:45:09.409524	2020-05-27 05:45:44.462580	9.572280372053411	128	0.48942280689981343	150	44	0.027069496147023038	8192														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									19	Setting status of trial#19 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
20		2020-05-27 05:45:44.473190	2020-05-27 05:46:06.850806	2.0325382141268324	128	0.3115204895109949	500	2	0.032744220660748856	4096														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									20	Setting status of trial#20 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
21		2020-05-27 05:46:06.861365	2020-05-27 05:46:27.869140	9.019953477988006	64	0.3999280356738898	200	1	0.00145807671437903	8192														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									21	Setting status of trial#21 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
22		2020-05-27 05:46:27.879219	2020-05-27 05:46:59.267210	8.667506446655409	64	0.32297043885895327	500	22	0.0029824305688235797	8192														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									22	Setting status of trial#22 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
23		2020-05-27 05:46:59.277527	2020-05-27 05:47:32.424875	8.351738824638634	256	0.48999592707932316	250	20	0.08948745446665503	4096														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									23	Setting status of trial#23 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
24		2020-05-27 05:47:32.434830	2020-05-27 05:47:54.608317	3.9318125833951125	128	0.49817073758244346	350	11	0.016637357251829927	1024														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									24	Setting status of trial#24 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
25		2020-05-27 05:47:54.619933	2020-05-27 05:48:25.908326	5.907832845842476	256	0.3275689956088162	50	30	0.014718827792930777	8192														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									25	Setting status of trial#25 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
26		2020-05-27 05:48:25.919100	2020-05-27 05:49:08.374062	9.43930987563449	256	0.27578209983382307	350	29	0.013309869332425991	4096														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									26	Setting status of trial#26 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
27		2020-05-27 05:49:08.383924	2020-05-27 05:49:52.173840	4.515714126623591	256	0.14152736118238357	500	45	0.004437645455833751	2048														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									27	Setting status of trial#27 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
28		2020-05-27 05:49:52.183207	2020-05-27 05:50:23.075203	5.884930642940162	256	0.2605644955784423	400	4	0.002362712061306689	8192														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									28	Setting status of trial#28 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
29		2020-05-27 05:50:23.086088	2020-05-27 05:50:46.988749	0.7272661111840496	64	0.34001383198876156	300	37	0.02161674734597272	2048														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									29	Setting status of trial#29 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
30		2020-05-27 05:50:47.000350	2020-05-27 05:51:12.037304	8.341451460763276	128	0.3805105023388795	350	35	0.001319093217458769	1024														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									30	Setting status of trial#30 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
31		2020-05-27 05:51:12.047280	2020-05-27 05:51:36.668694	7.802330392703553	256	0.22292582372846237	450	5	0.031063646476658664	1024														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									31	Setting status of trial#31 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
32		2020-05-27 05:51:36.679215	2020-05-27 05:51:59.754915	5.881226654296884	64	0.4336117311285187	250	12	0.03894929007499617	4096														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									32	Setting status of trial#32 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
33		2020-05-27 05:51:59.766292	2020-05-27 05:52:23.171787	9.45975173131505	128	0.15592765496597255	200	3	0.0010459991818148485	4096														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									33	Setting status of trial#33 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
34		2020-05-27 05:52:23.183676	2020-05-27 05:52:44.293253	1.4134801472633816	128	0.19748838377318673	100	9	0.02976032292396414	2048														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									34	Setting status of trial#34 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
35	0.5040176777822418	2020-05-27 05:52:44.303547	2020-05-27 21:17:30.734025	6.800213568991932	128	0.14689442250319307	50	49	0.0266021200842123	4096	0.06931913474277575	0.219867416633186	0.5040176777822418	0.3609883487344315	0.42677782241864204	3722.1019485737243	0.3162634937648534	0.219867416633186	0.5040176777822418	0.3609883487344315	0.42677782241864204	3722.1009441542787	0.3162634938590241		1702943852.0	220.0	0.219867416633186	0.5040176777822418	0.3609883487344315	0.42677782241864204	3722.1029529931698	0.3162634936707784	35		COMPLETE
36		2020-05-27 21:17:30.835373	2020-05-27 21:17:59.081092	6.832971965628154	128	0.12288428839675883	450	11	0.01399357518396304	2048														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									36	Setting status of trial#36 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
37		2020-05-27 21:17:59.091786	2020-05-27 21:18:26.652848	5.23858474580138	256	0.3030096137439354	250	12	0.0029433570247686222	2048														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									37	Setting status of trial#37 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
38		2020-05-27 21:18:26.662535	2020-05-27 21:18:50.001926	9.301374311761881	128	0.3755833396943874	200	29	0.006436368816833195	1024														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									38	Setting status of trial#38 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
39	0.2540176777822419	2020-05-27 21:18:50.012230	2020-05-28 08:53:50.968898	0.7900018346275179	128	0.30937696504998247	50	1	0.0032682917123388884	1024	0.08049263685771621	0.06890317396544797	0.2540176777822419	0.14061872237846526	0.1862193652069104	4278.715699075934	0.12993704331644326	0.06890317396544797	0.2540176777822419	0.14061872237846526	0.1862193652069104	4278.715146645239	0.1299370433185644		290860768.0	380.0	0.06890317396544797	0.2540176777822419	0.14061872237846526	0.1862193652069104	4278.716251506629	0.12993704331432246	39		COMPLETE
